id,status2021EN,status2021HE,surnameHE,givenNameHE,surnameEN,givenNameEN,genderEN,genderHE,nationalityEN,nationalityHE,religionEN,religionHE,religiousityEN,religiousityHE,ethnicityEN,ethnicityHE,birthCountryEN,birthCountryHE,birthYear,majorChildhoodCityHE,majorChildhoodCityEN,citySocio,highschoolHE,educationTypeEN,educationTypeHE,armyServiceEN,armyServiceHE,mainLegalEducationEN,mainLegalEducationHE,mainLegalEducationTypeInstEN,mainLegalEducationTypeInstHE,YearFisrtDegreeGraduation,typeAdvancedLegalEducationEN,typeAdvancedLegalEducationHE,universityAdvancedLegalEducationEN,universityAdvancedLegalEducationHE,yearAdvancedLegalEducation,otherAdvancedEducationHE,placeOfInternshipEN,placeOfInternshipHE,yearOfBecomingLawyer,lastPositionBeforeJudgeshipEN,lastPositionBeforeJudgeshipEN,position1EN,position1HE,court1NameEN,court1NameHE,position1Year,position2EN,position2HE,court2NameEN,court2NameHE,position2Year,position3EN,position3HE,court3NameEN,court3NameHE,position3Year,position4EN,position4HE,court4NameEN,court4NameHE,position4Year,position5EN,position5HE,court5NameEN,court5NameHE,position5Year,position6EN,position6HE,court6NameEN,court6NameHE,position6Year,position7EN,position7HE,court7NameEN,court7NameHE,position7Year,position8EN,position8HE,court8NameEN,court8NameHE,position8Year,everInSupremeCourt,everInSupremeStartYear1,everInSupremeEndYear1,everInSupremeStartYear2,everInSupremeEndYear2,everInDistrict,everInDistrictStartYear1,everInDistrictEndYear1,everInDistrictStartYear2,everInDistrictEndYear2,everInMagistrate,everInMagistrateStartYear1,everInMagistrateEndYear1,everInMagistrateStartYear2,everInMagistrateEndYear2,everInLaborRegional,everInLaborRegionalStartYear1,everInLaborRegionalEndYear1,everInLaborRegionalStartYear2,everInLaborRegionalEndYear2,everInLaborNational,everInLaborNationalStartYear,everInLaborNationalEndYear,endOfCareerEN,endOfCareerHE,endOfCareerYear,comments,ageOfEnteringJudgeship,xpInFirstNom,ageOfRetirement,JudgeshipxpInRet
331,Active,פעיל\ה,בר-עם ,משה,Bar-Am,Moses,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1960,ירושלים,Jerusalem,3,דנמרק,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1990,Unknown,לא ידוע,University of Haifa,אוניברסיטת חיפה,2006,"מנהל ציבורי ארה""ב",Unknown,לא ידוע,1991,Law Firm,"משרד עו""ד",Registrar,רשמות,Magistrate - Beer Sheva,שלום- באר שבע,1998,Judge,שיפוט,Magistrate - Beer Sheva,שלום- באר שבע,2000,Acting Judge,שיפוט בפועל,District - Jerusalem,מחוזי- ירושלים,2011,Judge,שיפוט,District - Jerusalem,מחוזי- ירושלים,2012,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2011,9999,,,TRUE,1998,2010,,,FALSE,,,,,FALSE,,,null,null,9999,-99,38,7,FALSE,null
332,Inactive,אינו פעיל\ אינה פעילה,"ברא""ז ",יצחק,,Isaac,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1926,פתח תקווה,Petah Tikva,7,אחד העם פתח תקווה,state-secular,ממלכתי,Unkown,Unkown,Unknown,לא ידוע,Unknown,לא ידוע,1947,Masters,Masters,Britain and its colonies,בריטניה והקולוניות,1951,לא ידוע,Unknown,לא ידוע,1950,Unknown,לא ידוע,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1982,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1982,1994,,,FALSE,,,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1994,,56,32,68,12
333,Inactive,אינו פעיל\ אינה פעילה,קיסר שרון,שרון,Caesar Sharon,Sharon,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,Unknown,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unkown,Unkown,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1993,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Public Prosecutor ,פרקליטות המדינה,1994,Justice Department - other,משרד המשפטים- אחר,Judge,שיפוט,Magistrate - Center District,שלום- מחוז מרכז,2009,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2009,2014,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2014,פרישה מוקדמת מטעם לא ידוע http://www.globes.co.il/news/article.aspx?did=1001011360,Unknown,15,Unknown,5
334,Active,פעיל\ה,ברגנר ,אריאל,Bergner,Ariel,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1965,חיפה,Haifa,7,הריאלי העברי חיפה,state-secular,ממלכתי,Army Service,Army Service,Britain and its Colonies,בריטניה והקולוניות,Abroad,"חו""ל",1992,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,District Court,"בימ""ש מחוזי",1992,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Ashdod,שלום- אשדוד,2009,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2009,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,44,17,FALSE,null
335,Active,פעיל\ה,חאמד ,וויליאם,Hamed,William,Male,זכר,Palestinian\Arab,ערבי\פלסטיני,Druze,דרוזי\ת,null,null,None-Jewish,לא יהודי\ה,Israel\Palestine,ישראל\פלשתינה,1970,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1992,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,IDF,"צה""ל",1994,Public Defender,סניגוריה ציבורית,Judge,שיפוט,Magistrate - Haifa District,שלום- מחוז חיפה,2006,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2006,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,36,12,FALSE,null
336,Inactive,אינו פעיל\ אינה פעילה,סוקולוב מרים,מרים,,Miriam,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1945,פתח תקווה,Petah Tikva,7,ברנר,state-secular,ממלכתי,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1969,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1971,Public Prosecutor,פרקליטות המדינה,Registrar,רשמות,Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,1976,Judge,שיפוט,Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,1988,Registrar,רשמות,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1995,Acting Judge,שיפוט בפועל,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1996,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,2002,Associate Judge,שיפוט עמית,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,2015,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1995,2015,,,TRUE,1976,1994,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2015,,31,5,70,39
337,Inactive,אינו פעיל\ אינה פעילה,דסקין נירה,נירה,Duskin Nira,Nira,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - Orthodox Background,דתי אורותודכסי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1948,בני ברק,Bnei Brak,2,בית ספר דתי,religious (state and independent),דתי (ממלכתי\עצמאי),Unkown,Unkown,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1971,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,District Court,"בימ""ש מחוזי",1974,Law Firm,"משרד עו""ד",Registrar,רשמות,Magistrate - Center District,שלום- מחוז מרכז,1988,Judge,שיפוט,Magistrate - Center District,שלום- מחוז מרכז,1993,Vice President,"סגנות נשיאות בימ""ש",Magistrate - Center District,שלום- מחוז מרכז,2007,Associate Judge,שיפוט עמית,Magistrate - Unknown,שלום- לא ידוע,2015,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1988,2015,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2015,-99,40,14,67,27
338,Active,פעיל\ה,ברגר ,בן ציון,Berger,Ben Zion,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1963,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Bar Ilan University ,אוניברסיטת בר אילן,University,אוניברסיטה,1996,Unknown,לא ידוע,Unknown,לא ידוע,null,לימודי הנדסה כימית בטכניון,Law Firm,"משרד עו""ד",1997,Law Firm,"משרד עו""ד",Registrar,רשמות,Magistrate - Haifa,שלום- חיפה,2004,Judge - specialty,שיפוט-מומחיות,Magistrate - Haifa,שלום- חיפה,2006,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2004,9999,,,FALSE,,,,,FALSE,,,null,null,9999,רשם ושופט לענייני משפחה,41,7,FALSE,null
339,Inactive,אינו פעיל\ אינה פעילה,וסרקרוג שולמית,שולמית,And Srkrog Shulamit,Shulamit,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1947,חיפה,Haifa,7,תיכון חדש - חיפה,state-secular,ממלכתי,Unkown,Unkown,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1973,Unknown,לא ידוע,Unknown,לא ידוע,null,ראשון ספרות - העברית + תעודת מורה + שני בפילוסופיה - חיפה,Supreme Court,"בימ""ש עליון",1974,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Magistrate - Haifa,שלום- חיפה,1989,Acting Judge,שיפוט בפועל,District - Haifa,מחוזי- חיפה,1994,Judge,שיפוט,District - Haifa,מחוזי- חיפה,1995,Vice President,"סגנות נשיאות בימ""ש",District - Haifa,מחוזי- חיפה,2006,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1994,2015,,,TRUE,1989,1993,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2015,,42,15,68,26
340,Active,פעיל\ה,ברוזה,יורם,Broza,Yoram,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1970,אשקלון,Ashkelon,5,תיכון אריה תגר,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1997,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1998,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Southern District,שלום- מחוז דרום,2016,null,"סגנות לנשיאות בימ""ש",null,שלום- מחוז דרום,2019,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2016,9999,,,FALSE,,,,,FALSE,,,null,null,9999,,46,18,FALSE,null
341,Inactive,אינו פעיל\ אינה פעילה,צימרינג מוניץ נחמה,נחמה,,comfort,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - Orthodox Background,דתי אורותודכסי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1950,נתניה,Netanya,6,בר אילן,religious (state and independent),דתי (ממלכתי\עצמאי),Unkown,Unkown,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1973,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1975,Law Firm,"משרד עו""ד",Judge - specialty,שיפוט (מומחיות),Magistrate - Unknown,שלום- לא ידוע,1989,Judge,שיפוט,Magistrate - Unknown,שלום- לא ידוע,1993,Vice President,"סגנות נשיאות בימ""ש",Magistrate - Northern District,שלום- מחוז צפון,1997,Acting Judge,שיפוט בפועל,District - Nazareth,מחוזי- נצרת,2001,Judge,שיפוט,District - Nazareth,מחוזי- נצרת,2002,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2001,2015,,,TRUE,1989,2000,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2015,,39,14,65,26
342,Inactive,אינו פעיל\ אינה פעילה,הדסי הרמן זיוה,זיוה,,Ziva,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1944,פתח תקווה,Petah Tikva,7,"עירוני ברנר - פ""ת",state-secular,ממלכתי,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1969,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1972,Municipality,רשות מקומית,Judge,שיפוט,Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,1992,Vice President,"סגנות לנשיאות בימ""ש",Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,2001,President,"נשיאות בימ""ש",Magistrate - Tel Aviv-Jaffa,שלום- מחוז תל אביב,2009,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1992,2015,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2015,,48,20,71,23
343,Inactive,אינו פעיל\ אינה פעילה,ינון חנה,חנה,,Hana,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1948,נס ציונה,Ness Ziona,8,תיכון נס ציונה,Unknown,לא ידוע,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1973,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Magistrate Court,"בימ""ש שלום",1974,Justice Department - other,משרד המשפטים- אחר,Judge,שיפוט,Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,1994,Senior Judge,שיפוט בכיר,Magistrate - Tel Aviv District,שלום- מחוז תל אביב,2010,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1994,2015,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2015,,46,20,67,21
344,Inactive,אינו פעיל\ אינה פעילה,רג'יניאנו קלרה,קלרה,Reginiano Clara,Clara,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Mizrahi,מזרחי\ת,North Africa,צפון אפריקה,1945,גבעתיים,Givatayim,8,קלעי,state-secular,ממלכתי,Unkown,Unkown,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1967,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,District Court,"בימ""ש מחוזי",1969,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Magistrate - Tel Aviv District,שלום- מחוז תל אביב,1995,Judge,שיפוט,District - Center,מחוזי- מרכז,2009,Associate Judge,שיפוט עמית,District - Center,מחוזי- מרכז,2015,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2009,2015,,,TRUE,1995,2008,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2015,,50,26,70,20
345,Inactive,אינו פעיל\ אינה פעילה,דודקביץ אסתר,אסתר,,Esther,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1961,רמת גן,Ramat Gan,8,"בליך - ר""ג",state-secular,ממלכתי,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1985,Masters,Masters,Tel Aviv University (TAU),אוניברסיטת תל אביב,2000,לא ידוע,Law Firm,"משרד עו""ד",1987,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Tel Aviv District,שלום- מחוז תל אביב,1995,Judge,שיפוט,District - Center,מחוזי- מרכז,2007,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2007,2015,,,TRUE,1995,2006,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2015,פרישה מוקדמת מטעם לא ידוע,34,8,54,20
346,Inactive,אינו פעיל\ אינה פעילה,"ברוך ז""ל",שמואל,Welcome Memorial,Samuel,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1958,יהוד,Yehud,8,מקיף יהוד,state-secular,ממלכתי,Army Service,Army Service,Bar Ilan University ,אוניברסיטת בר אילן,University,אוניברסיטה,1985,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Magistrate Court,"בימ""ש שלום",1985,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Center District,שלום- מחוז מרכז,1994,Vice President,"סגנות לנשיאות בימ""ש",Magistrate - Center District,שלום- מחוז מרכז,1999,Acting Judge,שיפוט בפועל,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,2004,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,2010,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2004,2010,,,TRUE,1994,2003,,,FALSE,,,,,FALSE,,,deceased,פטירה,2010,נפטר 2010,36,9,52,16
347,Inactive,אינו פעיל\ אינה פעילה,מילר עליסה,עליסה,,Alice,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1947,תל אביב -יפו,Tel Aviv Jaffa,8,"תיכון חדש - ת""א",state-secular,ממלכתי,Unkown,Unkown,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1971,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1972,Government department/agency,משרד או רשות ממשלתית,Judge - specialty,שיפוט (מומחיות),Magistrate (family) - Ramat Gan,שלום (משפחה)- רמת גן,1996,Senior Judge,שיפוט בכיר,Magistrate (family) - Ramat Gan,שלום (משפחה)- רמת גן,1996,Associate Judge,שיפוט עמית,Magistrate - Unknown,שלום- לא ידוע,2015,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1996,2015,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2015,,49,24,68,19
348,Inactive,אינו פעיל\ אינה פעילה,"ברטור ז""ל",מרדכי,The late rhetorical,Mordechai,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1919,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Law Classes (British Mandate),לימודי משפטים במנדט הבריטי,Abroad,"חו""ל",1947,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1951,Public Prosecutor,פרקליטות המדינה,Judge - specialty,שיפוט (מומחיות),Magistrate - Unknown,שלום- לא ידוע,1964,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1964,1984,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1984,נפטר 1996,45,13,65,20
349,Inactive,אינו פעיל\ אינה פעילה,אביב ,מלכה,Spring,Queen,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1953,ירושלים,Jerusalem,3,"ליד""ה",state-secular,ממלכתי,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1987,Unknown,לא ידוע,Unknown,לא ידוע,null,שני מנהל עסקים,Law Firm,"משרד עו""ד",1988,Judiciary (law clerks),סגל עזר שיפוטי,Judge,שיפוט,Magistrate - Unknown,שלום- לא ידוע,1998,Judge,שיפוט,Magistrate - Jerusalem,שלום- ירושלים,2001,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1998,2015,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2015,פרישה מוקדמת על רקע ביקורת על תפקודה: http://www.news1.co.il/Archive/001-D-368763-00.html?t=153916,45,10,62,17
350,Inactive,אינו פעיל\ אינה פעילה,היומן מרדכי עיריה,עיריה,Mordechai municipal calendar,municipality,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - Orthodox Background,דתי אורותודכסי,Ashkenazi,אשכנזי\ה,North America,צפון אמריקה,Unknown,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unkown,Unkown,Bar Ilan University ,אוניברסיטת בר אילן,University,אוניברסיטה,1984,Unknown,לא ידוע,Unknown,לא ידוע,null,"ראשון בהיסטוריה ומדעי היהדות - ארה""ב הוסמכה בהוראה ממכלת הדסה",Magistrate Court,"בימ""ש שלום",1986,Municipality,רשות מקומית,Judge,שיפוט,Magistrate - Beit Shean,שלום- בית שאן,1998,Vice President,"סגנות לנשיאות בימ""ש",Magistrate - Northern District,שלום- מחוז צפון,2004,Judge,שיפוט,Magistrate - Rehovot,שלום- רחובות,2011,Senior Judge,שיפוט בכיר,Magistrate - Rehovot,שלום- רחובות,2012,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1998,2015,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2015,פרישה מוקדמת מטעם לא ידוע,Unknown,12,Unknown,17
351,Active,פעיל\ה,ברינגר ,ליאור,Bringer,Lior,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1957,גבעתיים,Givatayim,8,תיכון קלעי,state-secular,ממלכתי,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1991,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Public Prosecutor ,פרקליטות המדינה,1992,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Center District,שלום- מחוז מרכז,2013,null,שיפוט,null,שלום- תל אביב יפו,2017,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2013,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,56,21,FALSE,null
352,Active,פעיל\ה,ברכיה,יוסף,Knees,Yosef,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - Orthodox Background,דתי אורותודכסי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1969,בת ים,Bat Yam,5,"ישיבה תיכונית אדר""ת",religious (state and independent),דתי (ממלכתי\עצמאי),Army Service,Army Service,Bar Ilan University ,אוניברסיטת בר אילן,University,אוניברסיטה,1997,Masters,Masters,Bar Ilan University (BIU),אוניברסיטת בר אילן,1998,ראשון במדעי המדינה ופילוסופיה יהודית,Law Firm,"משרד עו""ד",1998,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Magistrate - Tel Aviv District,שלום- מחוז תל אביב,2016,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2016,9999,,,FALSE,,,,,FALSE,,,null,null,9999,משמש כשופט צבאי במילואים בבית הדין הצבאי ביפו בדרגת רב סרן משנת 2019,47,18,FALSE,null
353,Inactive,אינו פעיל\ אינה פעילה,קלוגמן יעל,יעל,,Yael,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1945,תל אביב -יפו,Tel Aviv Jaffa,8,תיכון חדש,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1967,Masters,Masters,Hebrew University of Jerusalem (HUJI),האוניברסיטה העברית בירושלים,1974,לא ידוע,Supreme Court,"בימ""ש עליון",1971,"Security Forces (Police, IDF, ISA) ","כוחות הבטחון (צה""ל, משטרה, שב""כ)",Judge,שיפוט,Magistrate - Netanya,שלום- נתניה,1998,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1998,2015,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2015,,53,27,70,17
354,Inactive,אינו פעיל\ אינה פעילה,קציר ,איטה,Harvest Ita,Itâ,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - Orthodox Background,דתי אורותודכסי,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1948,חיפה,Haifa,7,עירוני ו בחיפה,religious (state and independent),דתי (ממלכתי\עצמאי),Unkown,Unkown,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1969,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Justice Department - Attorney General,משרד המשפטים- היועץ המשפטי,1972,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Labor - Haifa,עבודה- חיפה,1984,Vice President,"סגנות לנשיאות בימ""ש",Labor - Haifa,עבודה- חיפה,2000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,FALSE,,,,,TRUE,1984,2016,,,FALSE,,,Retired,פרישה לגמלאות,2016,-99,36,12,68,32
